LOCATION,NAME
6378,Wasserette Zwembad
6379,Antwerpen - Jan Van Lierstraat 4
6380,Wasserette
6381,Kast K6
6382,Kast K7
6383,[stopped] Sânmar - doorvaart De Sont
6384,URU 80810
6385,Hûske 3
6386,Kast K3
6387,Kast K5
6388,Kast K9
6389,Kast K10
6390,Zuil 1235 Overig
6391,Zuidbroek
6392,NVO Transport (private parking)
6393,Dummy
6394,Kast K1
6395,Kast K4
6396,Kast K2
6397,Kast K8
6398,Amstelveen - De Bouwerij 14
6399,Wasserette
6400,Valkenburg
6401,Walramplein (No parking)
6402,Zuil 80889
6403,Zuil 80890
6404,Haven Rodetorenplein
6406,verblijf
6407,Amsterdam - ahoy
6408,Haarlemmermeer
6409,Mysteryland
6410,Paviljoenlaan (hoofdkast)
6411,Foodtruckterrein (subkast)
6412,[stopped] Amsterdam - Voormalige Bijlmerbajes
6413,Wasserette - Toren 300
6414,Wasserette - Toren 200
6415,Kast WT11
6416,Kast WT12
6417,Den Haag - Staedion de Struijck
6418,Miele Laundry Boutique
6419,Den Helder
6421,Kast 08
6422,Kast 09
6423,Kast 10
6424,Kast 11
6425,Kast 12
6426,Kast 13
6427,Kast 14
6428,Kast 15
6429,Kast 16
6430,Kast 17
6431,Kast 18
6432,Kast 19 (under construction)
6433,Het Nieuwe Diep steiger 43-55
6434,Kast 01
6435,Kast 02
6436,Kast 03
6437,Kast 04
6438,Kast 05
6439,Kast 06
6440,Kast 07
6441,Delft - Asvest
6442,Wasserette
6443,Delft - Poppesteeg
6444,BeHome - Wasserette
6445,Stock Miele NL
6446,Unit 80855
6447,Unit 80877
6448,Unit 80853
6449,Unit 80860
6450,Unit 80865
6451,Venray - Bergweg
6452,Miele Laundry Boutique
6453,Eindhoven - Markten
6454,Markt
6455,Kast kelder
6456,Haarlem
6458,S019a Zuil (invalide steiger pleziervaart) Scheepsmakerskwartier
6459,S019b Kelderwindkade (zuil) (pleziervaart) Scheepsmakerskwartier
6460,S019c Kelderwindkade (zuil) (pleziervaart) Scheepsmakerskwartier
6461,S019d Kelderwindkade (zuil) (pleziervaart) Scheepsmakerskwartier
6462,S019e Kelderwindkade (zuil) (pleziervaart) Scheepsmakerskwartier
6463,S019f Kelderwindkade (zuil) (pleziervaart) Scheepsmakerskwartier
6464,S019g Kelderwindkade (zuil) (pleziervaart) Scheepsmakerskwartier
6466,S019h Disselkade (zuil) (pleziervaart) Scheepsmakerskwartier
6468,S008A (verdeelkast) Vissersbocht (pleziervaart)Vissersbocht
6469,S008B (zuil) Vissersbocht (pleziervaart)Vissersbocht
6471,S016a (verdeelkast en 2 zuilen) Zuider Buiten Spaarne Belgiëlaan (pleziervaart)Belgiëlaan
6472,S016b (verdeelkast en 2 zuilen) Zuider Buiten Spaarne Belgiëlaan (pleziervaart)Belgiëlaan
6474,S017A (verdeelkast) Molenplas (pleziervaart) Molenplas
6475,S017B (verdeelkast) Molenplas (pleziervaart)Molenplas
6481,Amerikavaart
6482,Leidsevaart/Raaks
6483,Kinderhuisvest
6484,Raamvest
6485,Kampervest
6486,Stock RAD
6487,Kast 1091
6488,Box 1092
6489,Box 1090
6490,Lyon
6491,Quai Rambaud
6492,Cabinet
6494,S004 Havenkantoor (passantensteiger) Havenkantoor
6495,S004 Havenkantoor (passantensteiger2) Havenkantoor
6497,S005 Drosteboulevard (pleziervaart) Drosteboulevard
6498,S005 Drosteboulevard (pleziervaart2) Drosteboulevard
6500,S009 Donker Spaarne (Chartervaart en grote pleziervaart)Donker Spaarne t/o 18
6502,S010 Donkere Spaarne (Chartervaart en grote pleziervaart) Donker Spaarne t/o 36
6504,S001 Spaarndamseweg (passantensteiger)
6505,S001 Spaarndamseweg (passantensteiger 2)
6507,S002 Spaarndamseweg (wachtplaats beroepsvaart) Waarderbrug Beroepsvaart
6508,S002 Spaarndamseweg (wachtplaats beroepsvaart2) Waarderbrug Beroepsvaart
6510,S007 Korte Dijk (pleziervaart groepen) Korte Dijk & Houtmarkt
6512,S011 Donkere Spaarne (Chartervaart en grote pleziervaart) Donker Spaarne t/o 44
6514,"S006A Koudehorn (pleziervaart, verdeelkast en putten)Koudenhorn"
6515,"S006B Koudehorn (pleziervaart, verdeelkast en putten)Koudenhorn"
6517,S012A Turfmarkt pleziervaart Turfmarkt
6518,S012B Turfmarkt pleziervaart Turfmarkt
6519,S003 Spaarndamseweg (passantensteiger) Spaarndamseweg
6521,Jan Gijzenvaart
6522,URU 81803
6523,Hoorn Pleziervaart abonnementen
6524,VERVALLEN
6525,Spare URU
6526,Den Haag - Vestia Het Strijkijzer
6527,Miele Laundry Boutique
6532,S015 Zuider Buiten Spaarne (pleziervaart) Zuider buiten Spaarne t.o. 128
6533,S014 Zuider Buiten Spaarne Combikade (charter en pleziervaart) Koningstein
6534,S013 Spaarne Combikade (charter en pleziervaart) Prieeltje Spaarne t.o. 111
6535,Verblijf
6537,Testunit
6538,Temp kastniveau
6539,Doorvaart
6541,Temp Seijsener
6542,Kast
6543,Unit 83439
6544,Unit 83407
6545,Unit 84705
6546,Unit 84734
6547,Unit 83515
6548,Unit 83514
6549,Unit 83510
6550,Unit 83533
6551,Trento
6552,Doorvaart en alle ligplaatsen
6553,Exelby
6554,Kast 44151
6555,Kast 44153
6556,Kast 44155
6557,Verdeelkast
6558,Schiedam (walstroom)
6559,Schepencarrousel
6560,Kast 6312
6561,Kast 6313
6562,Zwolle - SSH
6565,Wasserette Fossa
6566,Wasserette Suol
6567,Wasserette Tracé
6568,Riesenbeck Rechtes Ufer
6569,Riesenbeck Rechtes Ufer
6570,Kast 8501 Links
6571,Kast 8502 Rechts
6572,Kast 8503 Enkel
6573,[stopped] Capelle aan den IJssel - Rivium 1e Straat 141 k
6574,Rive Republic - Launderette
6575,Test - Wien Energy
6576,Test location office
6578,Kast 6400
6579,Kast 6404
6580,Kast 6408
6581,Kast 6412
6582,Kast 6502
6583,Kast 6418
6584,Kast 6422
6585,Kast 6426
6586,Kast 6430
6587,Kast 6434
6588,Kast 6438
6589,Loenen - Stichtse Vecht
6590,Verblijf met stroom
6591,Verblijf zonder stroom
6592,Verblijf
6593,Cronenburgh Noord met stroom (vervallen)
6594,Cronenburgh Noord
6595,Cronenburgh Zuid
6596,Kast 6442
6597,Kast 6444
6598,Kast 6448
6599,Kast 6450
6600,Kast 6454
6601,Kast 6456
6602,München - Leopoldstraße 202
6603,Pfeilstetter GWA
6604,Kast 6482
6605,Kast 6484
6606,Kast 6488
6607,Kast 6490
6608,Kast 6494
6609,Kast 6496
6610,Kast 6460
6611,Kast 6464
6612,Kast 6468
